gene,transcript_id,transcript_name,strand,last_exon_start,last_exon_end,utr_length,utr_status,ig_label
FGFR2,ENST00000683418,FGFR2-237,-,121478347,121480021,,missing_CDS,
FGFR2,ENST00000683678,FGFR2-238,-,121517212,121517463,,missing_CDS,
FGFR2,ENST00000683885,FGFR2-239,-,121482104,121483803,,missing_CDS,
FGFR2,ENST00000684153,FGFR2-240,-,121478368,121480113,1686,valid,
FGFR2,ENST00000684516,FGFR2-241,-,121478347,121480021,,missing_CDS,
FGFR2,ENST00000937092,FGFR2-242,-,121478344,121480021,1516,valid,
FGFR2,ENST00000937093,FGFR2-243,-,121478334,121480021,1526,valid,
FN1,ENST00000323926,FN1-201,-,215360454,215361626,1104,valid,
FN1,ENST00000336916,FN1-202,-,215360454,215361626,1104,valid,
FN1,ENST00000354785,FN1-203,-,215360865,215361626,693,valid,
FN1,ENST00000356005,FN1-204,-,215360866,215361626,692,valid,
FN1,ENST00000357867,FN1-205,-,215360454,215361626,1104,valid,
FN1,ENST00000359671,FN1-206,-,215360458,215361626,1100,valid,
FN1,ENST00000421182,FN1-207,-,215360440,215361626,1118,valid,
FN1,ENST00000426059,FN1-208,-,215414661,215414958,146,valid,
FN1,ENST00000432072,FN1-209,-,215360865,215361626,693,valid,
FN1,ENST00000438981,FN1-210,-,215371909,215372300,,invalid_or_negative,
FN1,ENST00000443816,FN1-211,-,215360862,215361626,696,valid,
FN1,ENST00000446046,FN1-212,-,215360862,215361626,696,valid,
FN1,ENST00000456923,FN1-213,-,215361147,215361626,411,valid,
FN1,ENST00000460217,FN1-214,-,215371864,215372300,,missing_CDS,
FN1,ENST00000461974,FN1-215,-,215370343,215370432,,missing_CDS,
FN1,ENST00000469569,FN1-216,-,215364370,215364985,,missing_CDS,
FN1,ENST00000471193,FN1-217,-,215408319,215408426,,missing_CDS,
FN1,ENST00000473614,FN1-218,-,215364667,215364985,,missing_CDS,
FN1,ENST00000474036,FN1-219,-,215375633,215375718,,missing_CDS,
FN1,ENST00000480024,FN1-220,-,215367679,215368027,,missing_CDS,
FN1,ENST00000480737,FN1-221,-,215382159,215382325,,missing_CDS,
FN1,ENST00000485567,FN1-222,-,215370380,215370432,,missing_CDS,
FN1,ENST00000490833,FN1-223,-,215379205,215379317,,missing_CDS,
FN1,ENST00000492816,FN1-224,-,215360862,215361626,,missing_CDS,
FN1,ENST00000494446,FN1-225,-,215361341,215361626,,missing_CDS,
FN1,ENST00000496542,FN1-226,-,215419289,215419385,,missing_CDS,
FN1,ENST00000498719,FN1-227,-,215360866,215361626,,missing_CDS,
FN1,ENST00000865084,FN1-228,-,215360440,215361626,1118,valid,
FN1,ENST00000865085,FN1-229,-,215360862,215361626,696,valid,
FN1,ENST00000865086,FN1-230,-,215360862,215361626,696,valid,
FN1,ENST00000865087,FN1-231,-,215360862,215361626,696,valid,
FN1,ENST00000865088,FN1-232,-,215360865,215361626,693,valid,
FN1,ENST00000865089,FN1-233,-,215360865,215361626,693,valid,
FN1,ENST00000933287,FN1-234,-,215360862,215361626,696,valid,
FN1,ENST00000967217,FN1-235,-,215360865,215361626,693,valid,
FN1,ENST00000967218,FN1-236,-,215360866,215361626,692,valid,
FN1,ENST00000967219,FN1-237,-,215360866,215361626,692,valid,
HAVCR2,ENST00000307851,HAVCR2-201,-,157085832,157087294,1273,valid,
HAVCR2,ENST00000517358,HAVCR2-202,-,157085839,157087294,1266,valid,
HAVCR2,ENST00000521665,HAVCR2-203,-,157095450,157095459,,invalid_or_negative,
HAVCR2,ENST00000522593,HAVCR2-204,-,157085867,157087294,1238,valid,
HAVCR2,ENST00000522902,HAVCR2-205,-,157106120,157106962,,missing_CDS,
HAVCR2,ENST00000524219,HAVCR2-206,-,157087078,157087294,27,valid,
HAVCR2,ENST00000696897,HAVCR2-207,-,157085884,157087294,1364,valid,
HAVCR2,ENST00000696898,HAVCR2-208,-,157094686,157095459,,missing_CDS,
HAVCR2,ENST00000696899,HAVCR2-209,-,157085857,157087294,1248,valid,
HAVCR2,ENST00000696900,HAVCR2-210,-,157085867,157087294,1238,valid,
HAVCR2,ENST00000696901,HAVCR2-211,-,157086054,157087294,9386,valid,
HAVCR2,ENST00000696902,HAVCR2-212,-,157085422,157087294,1683,valid,
HAVCR2,ENST00000853244,HAVCR2-213,-,157086877,157087294,228,valid,
ICAM1,ENST00000264832,ICAM1-201,+,10285115,10286615,1331,valid,
ICAM1,ENST00000423829,ICAM1-202,+,10285115,10285583,299,valid,
ICAM1,ENST00000585443,ICAM1-203,+,10283112,10283586,,missing_CDS,
ICAM1,ENST00000588645,ICAM1-204,+,10283558,10283753,,invalid_or_negative,
ICAM1,ENST00000592686,ICAM1-205,+,10284033,10284098,,missing_CDS,
ICAM1,ENST00000902798,ICAM1-206,+,10285115,10285868,584,valid,
ICAM1,ENST00000935832,ICAM1-207,+,10285115,10286614,1330,valid,
ICAM2,ENST00000412356,ICAM2-201,-,64002596,64002925,154,valid,
ICAM2,ENST00000418105,ICAM2-202,-,64002596,64002925,154,valid,
ICAM2,ENST00000449662,ICAM2-203,-,64002595,64002925,155,valid,
ICAM2,ENST00000578313,ICAM2-204,-,64003644,64003964,,invalid_or_negative,
ICAM2,ENST00000578379,ICAM2-205,-,64002594,64002925,156,valid,
ICAM2,ENST00000578892,ICAM2-206,-,64002594,64002925,156,valid,
ICAM2,ENST00000579687,ICAM2-207,-,64002632,64002925,118,valid,
ICAM2,ENST00000579788,ICAM2-208,-,64002595,64002925,155,valid,
ICAM2,ENST00000580011,ICAM2-209,-,64004255,64005373,,missing_CDS,
ICAM2,ENST00000580389,ICAM2-210,-,64004927,64005373,,missing_CDS,
ICAM2,ENST00000581417,ICAM2-211,-,64002632,64002925,,missing_CDS,
ICAM2,ENST00000583186,ICAM2-212,-,64005939,64006735,,missing_CDS,
ICAM2,ENST00000583366,ICAM2-213,-,64003649,64003964,,invalid_or_negative,
ICAM2,ENST00000583684,ICAM2-214,-,64002594,64002925,1304,valid,
ICAM2,ENST00000584084,ICAM2-215,-,64003793,64003964,,invalid_or_negative,
ICAM2,ENST00000584403,ICAM2-216,-,64003870,64003964,,missing_CDS,
ICAM2,ENST00000852957,ICAM2-217,-,64002595,64002925,155,valid,
ICAM2,ENST00000852958,ICAM2-218,-,64002595,64002925,155,valid,
ICAM2,ENST00000965113,ICAM2-219,-,64002596,64002925,154,valid,
ICAM2,ENST00000965114,ICAM2-220,-,64002596,64002925,154,valid,
ICAM2,ENST00000965115,ICAM2-221,-,64002598,64002925,152,valid,
ICAM2,ENST00000965116,ICAM2-222,-,64002596,64002925,154,valid,
ICAM2,ENST00000965117,ICAM2-223,-,64002598,64002925,152,valid,
ICAM2,ENST00000965118,ICAM2-224,-,64002596,64002925,154,valid,
ICAM3,ENST00000160262,ICAM3-201,-,10333776,10334059,84,valid,
ICAM3,ENST00000585439,ICAM3-202,-,10335146,10335976,3617,valid,
ICAM3,ENST00000587992,ICAM3-203,-,10333776,10334059,,missing_CDS,
ICAM3,ENST00000589249,ICAM3-204,-,10335967,10335976,,missing_CDS,
ICAM3,ENST00000589261,ICAM3-205,-,10333779,10334059,,missing_CDS,
ICAM3,ENST00000589580,ICAM3-206,-,10338724,10339208,,missing_CDS,
ICAM3,ENST00000589900,ICAM3-207,-,10333776,10334059,,missing_CDS,
ICAM3,ENST00000590569,ICAM3-208,-,10335889,10335976,,missing_CDS,
ICAM3,ENST00000592439,ICAM3-209,-,10333975,10334059,,missing_CDS,
ICAM3,ENST00000592945,ICAM3-210,-,10333778,10334059,,missing_CDS,
ICAM3,ENST00000706691,ICAM3-211,-,10333776,10334059,84,valid,
ICAM3,ENST00000706692,ICAM3-212,-,10333777,10334059,,missing_CDS,
ICAM3,ENST00000706693,ICAM3-213,-,10333778,10334059,618,valid,
ICAM3,ENST00000912542,ICAM3-214,-,10333776,10334059,84,valid,
ICAM4,ENST00000340992,ICAM4-201,+,10287986,10288502,321,valid,
ICAM4,ENST00000380770,ICAM4-202,+,10287986,10288520,419,valid,
ICAM4,ENST00000393717,ICAM4-203,+,10287536,10288522,670,valid,
ICAM4,ENST00000929145,ICAM4-204,+,10287986,10288519,418,valid,
ICAM5,ENST00000221980,ICAM5-201,+,10296339,10296778,165,valid,
ICAM5,ENST00000586004,ICAM5-202,+,10291489,10291708,,missing_CDS,
ICAM5,ENST00000586480,ICAM5-203,+,10296339,10296776,163,valid,
ICAM5,ENST00000587398,ICAM5-204,+,10291489,10291747,,missing_CDS,
ICAM5,ENST00000588912,ICAM5-205,+,10289993,10290920,,missing_CDS,
ICAM5,ENST00000948402,ICAM5-206,+,10296339,10296776,163,valid,
ICOSLG,ENST00000344330,ICOSLG-201,-,44222694,44223078,356,valid,
ICOSLG,ENST00000400377,ICOSLG-202,-,44226834,44229044,2203,valid,
ICOSLG,ENST00000400379,ICOSLG-203,-,44226834,44230089,2699,valid,
ICOSLG,ENST00000407780,ICOSLG-204,-,44222991,44229044,6046,valid,
ICOSLG,ENST00000643466,ICOSLG-205,-,44215382,44218244,2678,valid,
ICOSLG,ENST00000700350,ICOSLG-206,-,44226837,44229044,11897,valid,
ICOSLG,ENST00000700351,ICOSLG-207,-,44226838,44231444,,missing_CDS,
ICOSLG,ENST00000700352,ICOSLG-208,-,44226851,44229044,2186,valid,
ICOSLG,ENST00000700353,ICOSLG-209,-,44227462,44229044,,missing_CDS,
ICOSLG,ENST00000700354,ICOSLG-210,-,44227462,44229044,,missing_CDS,
ICOSLG,ENST00000700355,ICOSLG-211,-,44227482,44229546,2051,valid,
ICOSLG,ENST00000700356,ICOSLG-212,-,44227482,44229044,11252,valid,
ICOSLG,ENST00000700357,ICOSLG-213,-,44227483,44229044,11251,valid,
ICOSLG,ENST00000700358,ICOSLG-214,-,44227483,44229044,1554,valid,
ICOSLG,ENST00000700359,ICOSLG-215,-,44228942,44229044,7948,valid,
ICOSLG,ENST00000700360,ICOSLG-216,-,44230054,44230089,,invalid_or_negative,
ICOSLG,ENST00000700361,ICOSLG-217,-,44232390,44235562,2859,valid,
ICOSLG,ENST00000867614,ICOSLG-218,-,44226838,44229044,2199,valid,
ICOSLG,ENST00000867615,ICOSLG-219,-,44228526,44229044,511,valid,
IGHA1,ENST00000390547,IGHA1-201,-,105707118,105707562,53,valid,short
IGHA1,ENST00000641837,IGHA1-202,-,105703995,105704086,396,valid,long
IGHA2,ENST00000390539,IGHA2-201,-,105586889,105587331,51,valid,short
IGHA2,ENST00000497872,IGHA2-202,-,105583731,105583853,426,valid,long
IGHE,ENST00000390541,IGHE-201,-,105599941,105600397,128,valid,short
IGHE,ENST00000641420,IGHE-202,-,105597691,105597774,3,valid,long
IGHG1,ENST00000390542,IGHG1-201,-,105741339,105741795,137,valid,short
IGHG1,ENST00000390548,IGHG1-202,-,105736343,105737845,1422,valid,long
IGHG1,ENST00000390549,IGHG1-203,-,105741338,105741795,138,valid,short
IGHG2,ENST00000390545,IGHG2-201,-,105643068,105643525,138,valid,short
IGHG2,ENST00000641095,IGHG2-202,-,105639559,105641048,1409,valid,long
IGHG3,ENST00000390551,IGHG3-201,-,105769102,105769559,138,valid,short
IGHG3,ENST00000641136,IGHG3-202,-,105764503,105765997,1414,valid,long
IGHG4,ENST00000390543,IGHG4-201,-,105624341,105624798,138,valid,short
IGHG4,ENST00000641978,IGHG4-202,-,105620506,105621995,1409,valid,long
IGHM,ENST00000390559,IGHM-201,-,105854220,105854737,126,valid,short
IGHM,ENST00000637539,IGHM-202,-,105851705,105851974,264,valid,long
IL2RA,ENST00000256876,IL2RA-201,-,6012797,6012896,78,valid,
IL2RA,ENST00000379954,IL2RA-202,-,6012071,6012896,804,valid,
IL2RA,ENST00000379959,IL2RA-203,-,6010689,6012896,2186,valid,
IL2RA,ENST00000447847,IL2RA-204,-,6012683,6012896,192,valid,
IL2RA,ENST00000644262,IL2RA-205,-,6039400,6039742,,missing_CDS,
IL2RA,ENST00000649218,IL2RA-206,-,6010715,6012896,,missing_CDS,
IL2RA,ENST00000697424,IL2RA-207,-,6012845,6012896,30,valid,
IL6R,ENST00000344086,IL6R-201,+,154465134,154466877,1715,valid,
IL6R,ENST00000368485,IL6R-202,+,154465134,154469450,4073,valid,
IL6R,ENST00000476006,IL6R-203,+,154449911,154449979,,invalid_or_negative,
IL6R,ENST00000502679,IL6R-204,+,154465134,154465248,,missing_CDS,
IL6R,ENST00000507256,IL6R-205,+,154465134,154465314,,missing_CDS,
IL6R,ENST00000512471,IL6R-206,+,154434519,154434583,,invalid_or_negative,
IL6R,ENST00000515190,IL6R-207,+,154454488,154454583,,invalid_or_negative,
IL6R,ENST00000622330,IL6R-208,+,154437435,154438084,543,valid,
IL6R,ENST00000858505,IL6R-209,+,154465134,154466877,1500,valid,
IL6R,ENST00000858506,IL6R-210,+,154465134,154466877,1500,valid,
IL6R,ENST00000858507,IL6R-211,+,154465134,154466851,1474,valid,
IL6R,ENST00000858508,IL6R-212,+,154465134,154466851,1474,valid,
IL6R,ENST00000858509,IL6R-213,+,154465134,154466851,1474,valid,
IL6R,ENST00000858510,IL6R-214,+,154465134,154466851,1474,valid,
IL6R,ENST00000858511,IL6R-215,+,154465134,154466877,1500,valid,
IL6R,ENST00000858512,IL6R-216,+,154465134,154466851,1474,valid,
IL6R,ENST00000954333,IL6R-217,+,154465134,154466851,1474,valid,
IL7R,ENST00000303115,IL7R-201,+,35875983,35879603,3120,valid,
IL7R,ENST00000505093,IL7R-202,+,35875983,35876708,722,valid,
IL7R,ENST00000505875,IL7R-203,+,35875983,35876434,,missing_CDS,
IL7R,ENST00000506850,IL7R-204,+,35875512,35875722,134,valid,
IL7R,ENST00000508941,IL7R-205,+,35860852,35860948,,invalid_or_negative,
IL7R,ENST00000509668,IL7R-206,+,35875512,35875521,,missing_CDS,
IL7R,ENST00000511031,IL7R-207,+,35867306,35867465,,missing_CDS,
IL7R,ENST00000511982,IL7R-208,+,35867306,35867610,76,valid,
IL7R,ENST00000514217,IL7R-209,+,35875983,35876567,1053,valid,
IL7R,ENST00000515665,IL7R-210,+,35860852,35860926,,invalid_or_negative,
IL7R,ENST00000877114,IL7R-211,+,35876264,35876752,269,valid,
ITGA1,ENST00000282588,ITGA1-201,+,52952407,52959209,6761,valid,
ITGA1,ENST00000504086,ITGA1-202,+,52824313,52825210,,missing_CDS,
ITGA1,ENST00000504669,ITGA1-203,+,52952407,52952512,,missing_CDS,
ITGA1,ENST00000506275,ITGA1-204,+,52952407,52956491,,missing_CDS,
ITGA1,ENST00000509049,ITGA1-205,+,52882880,52882927,,missing_CDS,
ITGA1,ENST00000513737,ITGA1-206,+,52887815,52887891,,missing_CDS,
ITGA1,ENST00000514262,ITGA1-207,+,52867038,52867218,,missing_CDS,
ITGA1,ENST00000650673,ITGA1-208,+,52952407,52956483,68607,valid,
ITGA10,ENST00000369304,ITGA10-201,-,145891208,145892863,1593,valid,
ITGA10,ENST00000468261,ITGA10-202,-,145905758,145906824,,missing_CDS,
ITGA10,ENST00000481236,ITGA10-203,-,145902454,145902961,,missing_CDS,
ITGA10,ENST00000539363,ITGA10-204,-,145891214,145892863,1587,valid,
ITGA10,ENST00000889439,ITGA10-205,-,145891208,145892863,1593,valid,
ITGA10,ENST00000889440,ITGA10-206,-,145891208,145892863,1593,valid,
ITGA10,ENST00000889441,ITGA10-207,-,145891755,145892863,1046,valid,
ITGA10,ENST00000965598,ITGA10-208,-,145891206,145892863,1595,valid,
ITGA11,ENST00000315757,ITGA11-201,-,68296532,68303130,6530,valid,
ITGA11,ENST00000423218,ITGA11-202,-,68296533,68303130,6529,valid,
ITGA11,ENST00000562826,ITGA11-203,-,68351256,68351402,,missing_CDS,
ITGA11,ENST00000565868,ITGA11-204,-,68357079,68357299,,missing_CDS,
ITGA11,ENST00000566429,ITGA11-205,-,68331951,68332062,,missing_CDS,
ITGA11,ENST00000568677,ITGA11-206,-,68357145,68357299,,missing_CDS,
ITGA11,ENST00000569346,ITGA11-207,-,68331078,68331111,,missing_CDS,
ITGA11,ENST00000902076,ITGA11-208,-,68301702,68303130,1360,valid,
ITGA11,ENST00000902077,ITGA11-209,-,68301944,68303130,1118,valid,
ITGA2,ENST00000296585,ITGA2-201,+,53090519,53094779,4183,valid,
ITGA2,ENST00000503810,ITGA2-202,+,53090519,53090834,39401,valid,
ITGA2,ENST00000509814,ITGA2-203,+,53090519,53090653,16253,valid,
ITGA2,ENST00000509960,ITGA2-204,+,53090519,53090657,24741,valid,
ITGA2,ENST00000510722,ITGA2-205,+,53090519,53090657,10146,valid,
ITGA2,ENST00000513685,ITGA2-206,+,53090519,53090646,48437,valid,
ITGA2,ENST00000860895,ITGA2-207,+,53090519,53092640,2044,valid,
ITGA3,ENST00000007722,ITGA3-201,+,50089110,50089729,467,valid,
ITGA3,ENST00000320031,ITGA3-202,+,50089110,50090481,2149,valid,
ITGA3,ENST00000504417,ITGA3-203,+,50081310,50081380,257,valid,
ITGA3,ENST00000505306,ITGA3-204,+,50089110,50090480,,missing_CDS,
ITGA3,ENST00000505552,ITGA3-205,+,50074144,50074211,,missing_CDS,
ITGA3,ENST00000505612,ITGA3-206,+,50076584,50076733,,missing_CDS,
ITGA3,ENST00000506401,ITGA3-207,+,50076974,50076995,6140,valid,
ITGA3,ENST00000506437,ITGA3-208,+,50089110,50090481,,missing_CDS,
ITGA3,ENST00000506827,ITGA3-209,+,50090190,50090481,166,valid,
ITGA3,ENST00000507771,ITGA3-210,+,50078824,50079016,,missing_CDS,
ITGA3,ENST00000508100,ITGA3-211,+,50064528,50064789,,missing_CDS,
ITGA3,ENST00000510809,ITGA3-212,+,50075599,50075700,1419,valid,
ITGA3,ENST00000512553,ITGA3-213,+,50074448,50074514,,invalid_or_negative,
ITGA3,ENST00000514834,ITGA3-214,+,50089110,50089815,,missing_CDS,
ITGA3,ENST00000515147,ITGA3-215,+,50079435,50079483,,missing_CDS,
ITGA3,ENST00000570989,ITGA3-216,+,50063538,50066032,,missing_CDS,
ITGA3,ENST00000876971,ITGA3-217,+,50089110,50090484,2152,valid,
ITGA3,ENST00000876972,ITGA3-218,+,50089110,50090481,2149,valid,
ITGA3,ENST00000876973,ITGA3-219,+,50089110,50090485,2153,valid,
ITGA4,ENST00000233573,ITGA4-201,+,181509658,181509805,,invalid_or_negative,
ITGA4,ENST00000339307,ITGA4-202,+,181475820,181476218,370,valid,
ITGA4,ENST00000397033,ITGA4-203,+,181535432,181538940,3416,valid,
ITGA4,ENST00000465522,ITGA4-204,+,181485881,181486309,,missing_CDS,
ITGA4,ENST00000468948,ITGA4-205,+,181524171,181524365,,missing_CDS,
ITGA4,ENST00000473002,ITGA4-206,+,181495783,181495832,,missing_CDS,
ITGA4,ENST00000476089,ITGA4-207,+,181458196,181459391,,missing_CDS,
ITGA4,ENST00000476824,ITGA4-208,+,181527297,181527450,,missing_CDS,
ITGA4,ENST00000478440,ITGA4-209,+,181478757,181479716,,missing_CDS,
ITGA4,ENST00000484404,ITGA4-210,+,181474960,181475290,,missing_CDS,
ITGA4,ENST00000490435,ITGA4-211,+,181511699,181511771,,missing_CDS,
ITGA5,ENST00000293379,ITGA5-201,-,54395261,54396376,1035,valid,
ITGA5,ENST00000435631,ITGA5-202,-,54404771,54404894,4502,valid,
ITGA5,ENST00000547197,ITGA5-203,-,54395895,54396376,401,valid,
ITGA5,ENST00000547744,ITGA5-204,-,54411908,54411964,,missing_CDS,
ITGA5,ENST00000549601,ITGA5-205,-,54396222,54396376,,missing_CDS,
ITGA5,ENST00000550141,ITGA5-206,-,54403632,54403779,,missing_CDS,
ITGA5,ENST00000551564,ITGA5-207,-,54402081,54402093,,missing_CDS,
ITGA5,ENST00000551861,ITGA5-208,-,54403916,54403966,,missing_CDS,
ITGA5,ENST00000552387,ITGA5-209,-,54397366,54397487,,missing_CDS,
ITGA5,ENST00000552431,ITGA5-210,-,54397271,54397487,,missing_CDS,
ITGA5,ENST00000552564,ITGA5-211,-,54395261,54396376,,missing_CDS,
ITGA5,ENST00000552583,ITGA5-212,-,54401560,54401855,,missing_CDS,
ITGA5,ENST00000553071,ITGA5-213,-,54405194,54405374,4079,valid,
ITGA5,ENST00000854881,ITGA5-214,-,54395267,54396376,1029,valid,
ITGA5,ENST00000854882,ITGA5-215,-,54395273,54396376,1023,valid,
ITGA5,ENST00000854883,ITGA5-216,-,54395275,54396376,1021,valid,
ITGA5,ENST00000945317,ITGA5-217,-,54395263,54396376,1033,valid,
ITGA5,ENST00000945318,ITGA5-218,-,54395266,54396376,1030,valid,
ITGA5,ENST00000945319,ITGA5-219,-,54395263,54396376,1033,valid,
ITGA5,ENST00000945320,ITGA5-220,-,54395263,54396376,1033,valid,
ITGA5,ENST00000945321,ITGA5-221,-,54395269,54396376,1027,valid,
ITGA5,ENST00000945322,ITGA5-222,-,54395271,54396376,1025,valid,
ITGA6,ENST00000264107,ITGA6-201,+,172504091,172506258,4382,valid,
ITGA6,ENST00000409080,ITGA6-202,+,172504091,172506459,2210,valid,
ITGA6,ENST00000409532,ITGA6-203,+,172504091,172504534,2658,valid,
ITGA6,ENST00000412899,ITGA6-204,+,172474929,172474977,,invalid_or_negative,
ITGA6,ENST00000416789,ITGA6-205,+,172504091,172504328,79,valid,
ITGA6,ENST00000442250,ITGA6-206,+,172504091,172506459,2210,valid,
ITGA6,ENST00000458358,ITGA6-207,+,172504091,172504252,3,valid,
ITGA6,ENST00000469534,ITGA6-208,+,172489485,172489928,,missing_CDS,
ITGA6,ENST00000470259,ITGA6-209,+,172491221,172491254,,missing_CDS,
ITGA6,ENST00000475302,ITGA6-210,+,172501772,172501818,,missing_CDS,
ITGA6,ENST00000497107,ITGA6-211,+,172474055,172474112,,missing_CDS,
ITGA6,ENST00000684293,ITGA6-212,+,172504091,172506459,4583,valid,
ITGA6,ENST00000715295,ITGA6-213,+,172504091,172506410,2161,valid,
ITGA6,ENST00000874109,ITGA6-214,+,172504091,172506277,4401,valid,
ITGA6,ENST00000874110,ITGA6-215,+,172504091,172506193,4317,valid,
ITGA6,ENST00000874111,ITGA6-216,+,172504091,172506277,4401,valid,
ITGA6,ENST00000874112,ITGA6-217,+,172504091,172504288,2412,valid,
ITGA6,ENST00000953156,ITGA6-218,+,172504091,172506277,4401,valid,
ITGA7,ENST00000257879,ITGA7-201,-,55684568,55685288,493,valid,
ITGA7,ENST00000347027,ITGA7-202,-,55684572,55685288,489,valid,
ITGA7,ENST00000452168,ITGA7-203,-,55684572,55685288,489,valid,
ITGA7,ENST00000553276,ITGA7-204,-,55698858,55698917,,missing_CDS,
ITGA7,ENST00000553737,ITGA7-205,-,55700776,55701154,,missing_CDS,
ITGA7,ENST00000553804,ITGA7-206,-,55684568,55685288,493,valid,
ITGA7,ENST00000553893,ITGA7-207,-,55684585,55685288,18514,valid,
ITGA7,ENST00000554327,ITGA7-208,-,55684572,55685288,10060,valid,
ITGA7,ENST00000554359,ITGA7-209,-,55702828,55703178,,missing_CDS,
ITGA7,ENST00000554543,ITGA7-210,-,55698523,55698576,,missing_CDS,
ITGA7,ENST00000554724,ITGA7-211,-,55700672,55700971,2427,valid,
ITGA7,ENST00000555687,ITGA7-212,-,55699978,55699989,3121,valid,
ITGA7,ENST00000555728,ITGA7-213,-,55684703,55685288,358,valid,
ITGA7,ENST00000555809,ITGA7-214,-,55700997,55701154,2102,valid,
ITGA7,ENST00000556273,ITGA7-215,-,55697759,55697822,246,valid,
ITGA7,ENST00000556371,ITGA7-216,-,55700783,55701154,,missing_CDS,
ITGA7,ENST00000557058,ITGA7-217,-,55684585,55685288,,missing_CDS,
ITGA7,ENST00000557257,ITGA7-218,-,55685058,55685288,3,valid,
ITGA7,ENST00000557488,ITGA7-219,-,55697752,55697822,,missing_CDS,
ITGA7,ENST00000557555,ITGA7-220,-,55684858,55685288,373,valid,
ITGA7,ENST00000686981,ITGA7-221,-,55684585,55685288,18514,valid,
ITGA7,ENST00000687390,ITGA7-222,-,55684585,55685288,,missing_CDS,
ITGA7,ENST00000688413,ITGA7-223,-,55684622,55685288,,missing_CDS,
ITGA7,ENST00000689678,ITGA7-224,-,55693619,55694330,,missing_CDS,
ITGA7,ENST00000691052,ITGA7-225,-,55684585,55685288,12685,valid,
ITGA7,ENST00000691846,ITGA7-226,-,55684585,55685288,12685,valid,
ITGA7,ENST00000691973,ITGA7-227,-,55684601,55685288,460,valid,
ITGA7,ENST00000888129,ITGA7-228,-,55684568,55685288,493,valid,
ITGA7,ENST00000888132,ITGA7-229,-,55684568,55685288,493,valid,
ITGA7,ENST00000888133,ITGA7-230,-,55684568,55685288,493,valid,
ITGA7,ENST00000888135,ITGA7-231,-,55684568,55685288,493,valid,
ITGA7,ENST00000888136,ITGA7-232,-,55684568,55685288,493,valid,
ITGA7,ENST00000888137,ITGA7-233,-,55684568,55685288,493,valid,
ITGA7,ENST00000888138,ITGA7-234,-,55684568,55685288,493,valid,
ITGA7,ENST00000888139,ITGA7-235,-,55684568,55685288,493,valid,
ITGA7,ENST00000888141,ITGA7-236,-,55684568,55685288,493,valid,
ITGA7,ENST00000888142,ITGA7-237,-,55684568,55685288,493,valid,
ITGA7,ENST00000888144,ITGA7-238,-,55684568,55685288,493,valid,
ITGA7,ENST00000888145,ITGA7-239,-,55684568,55685288,493,valid,
ITGA7,ENST00000888146,ITGA7-240,-,55684583,55685288,478,valid,
ITGA7,ENST00000888147,ITGA7-241,-,55684583,55685288,478,valid,
ITGA7,ENST00000888148,ITGA7-242,-,55684568,55685288,493,valid,
ITGA7,ENST00000888149,ITGA7-243,-,55684568,55685288,493,valid,
ITGA7,ENST00000888150,ITGA7-244,-,55684568,55685288,493,valid,
ITGA7,ENST00000888151,ITGA7-245,-,55684568,55685288,493,valid,
ITGA7,ENST00000888152,ITGA7-246,-,55684568,55685288,493,valid,
ITGA7,ENST00000888153,ITGA7-247,-,55684568,55685288,493,valid,
ITGA7,ENST00000912204,ITGA7-248,-,55684568,55685288,493,valid,
ITGA7,ENST00000912205,ITGA7-249,-,55684568,55685288,493,valid,
ITGA7,ENST00000945415,ITGA7-250,-,55684572,55685288,489,valid,
ITGA7,ENST00000945416,ITGA7-251,-,55684572,55685288,489,valid,
ITGA7,ENST00000945417,ITGA7-252,-,55684574,55685288,487,valid,
ITGA7,ENST00000945418,ITGA7-253,-,55684574,55685288,487,valid,
ITGA7,ENST00000945419,ITGA7-254,-,55684568,55685288,493,valid,
ITGA7,ENST00000945420,ITGA7-255,-,55684574,55685288,487,valid,
ITGA7,ENST00000945421,ITGA7-256,-,55684575,55685288,486,valid,
ITGA7,ENST00000945422,ITGA7-257,-,55684572,55685288,489,valid,
ITGA8,ENST00000378076,ITGA8-201,-,15513954,15517244,3207,valid,
ITGA8,ENST00000468882,ITGA8-202,-,15611510,15611537,,missing_CDS,
ITGA8,ENST00000477064,ITGA8-203,-,15596513,15597299,,missing_CDS,
ITGA8,ENST00000882526,ITGA8-204,-,15517145,15517244,16,valid,
ITGA8,ENST00000967017,ITGA8-205,-,15517157,15517244,4,valid,
ITGA9,ENST00000264741,ITGA9-201,+,37818891,37823507,4521,valid,
ITGA9,ENST00000411817,ITGA9-202,+,37818891,37819390,404,valid,
ITGA9,ENST00000422441,ITGA9-203,+,37629187,37629519,126,valid,
ITGA9,ENST00000461533,ITGA9-204,+,37732712,37732999,,missing_CDS,
ITGA9,ENST00000921363,ITGA9-205,+,37818891,37823507,4521,valid,
ITGA9,ENST00000921364,ITGA9-206,+,37818891,37819322,336,valid,
ITGA9,ENST00000944256,ITGA9-207,+,37818891,37823507,4521,valid,
ITGA9,ENST00000944257,ITGA9-208,+,37818891,37823501,4515,valid,
ITGA9,ENST00000944258,ITGA9-209,+,37818891,37820090,1104,valid,
ITGA9,ENST00000944259,ITGA9-210,+,37818891,37819382,396,valid,
