gene,polyA_group,feature_type,feature_id,chrom,start,end,strand,transcripts,transcript_names,avg_utr_length,min_utr_length,max_utr_length,evidence_tier
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000682550,10,121478347,121480021,-,ENST00000682550,FGFR2-230,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000682772,10,121478347,121480021,-,ENST00000682772,FGFR2-231,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000682904,10,121478347,121480021,-,ENST00000682904,FGFR2-232,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000683211,10,121478347,121480021,-,ENST00000683211,FGFR2-235,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000683418,10,121478347,121480021,-,ENST00000683418,FGFR2-237,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000684516,10,121478347,121480021,-,ENST00000684516,FGFR2-241,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000683029,10,121478357,121480021,-,ENST00000683029,FGFR2-233,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000683250,10,121478357,121480021,-,ENST00000683250,FGFR2-236,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000478859,10,121478364,121480021,-,ENST00000478859,FGFR2-218,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA1,last_exon_group,FGFR2_polyA1_exon_ENST00000684153,10,121478368,121480113,-,ENST00000684153,FGFR2-240,3114.9333333333334,1250,25577,tier1_group
FGFR2,FGFR2_polyA2,polyA_window,FGFR2_polyA2_window,10,121478872,121479272,-,ENST00000356226,FGFR2-204,788.0,788,788,tier3_polyA
FGFR2,FGFR2_polyA2,last_exon_group,FGFR2_polyA2_exon_ENST00000356226,10,121479072,121480021,-,ENST00000356226,FGFR2-204,788.0,788,788,tier1_group
FGFR2,FGFR2_polyA3,polyA_window,FGFR2_polyA3_window,10,121479022,121479422,-,ENST00000369060;ENST00000604236,FGFR2-212;FGFR2-222,19434.0,642,38226,tier3_polyA
FGFR2,FGFR2_polyA3,last_exon_group,FGFR2_polyA3_exon_ENST00000369060,10,121479218,121480021,-,ENST00000369060,FGFR2-212,19434.0,642,38226,tier1_group
FGFR2,FGFR2_polyA3,last_exon_group,FGFR2_polyA3_exon_ENST00000604236,10,121479227,121480021,-,ENST00000604236,FGFR2-222,19434.0,642,38226,tier1_group
FGFR2,FGFR2_polyA4,polyA_window,FGFR2_polyA4_window,10,121479419,121479819,-,ENST00000369059,FGFR2-211,241.0,241,241,tier3_polyA
FGFR2,FGFR2_polyA4,last_exon_group,FGFR2_polyA4_exon_ENST00000369059,10,121479619,121480021,-,ENST00000369059,FGFR2-211,241.0,241,241,tier1_group
FGFR2,FGFR2_polyA5,polyA_window,FGFR2_polyA5_window,10,121479585,121479985,-,ENST00000467584,FGFR2-217,,,,tier3_polyA
FGFR2,FGFR2_polyA5,last_exon_group,FGFR2_polyA5_exon_ENST00000467584,10,121479785,121480021,-,ENST00000467584,FGFR2-217,,,,tier1_group
FGFR2,FGFR2_polyA6,polyA_window,FGFR2_polyA6_window,10,121479656,121480056,-,ENST00000429361;ENST00000346997,FGFR2-214;FGFR2-202,14.0,3,25,tier3_polyA
FGFR2,FGFR2_polyA6,last_exon_group,FGFR2_polyA6_exon_ENST00000429361,10,121479855,121480021,-,ENST00000429361,FGFR2-214,14.0,3,25,tier1_group
FGFR2,FGFR2_polyA6,last_exon_group,FGFR2_polyA6_exon_ENST00000346997,10,121479857,121480021,-,ENST00000346997,FGFR2-202,14.0,3,25,tier1_group
FGFR2,FGFR2_polyA7,polyA_window,FGFR2_polyA7_window,10,121481645,121482045,-,ENST00000360144;ENST00000369056,FGFR2-208;FGFR2-209,329.5,319,340,tier3_polyA
FGFR2,FGFR2_polyA7,last_exon_group,FGFR2_polyA7_exon_ENST00000360144,10,121481835,121482177,-,ENST00000360144,FGFR2-208,329.5,319,340,tier1_group
FGFR2,FGFR2_polyA7,last_exon_group,FGFR2_polyA7_exon_ENST00000369056,10,121481856,121482177,-,ENST00000369056,FGFR2-209,329.5,319,340,tier1_group
FGFR2,FGFR2_polyA8,polyA_window,FGFR2_polyA8_window,10,121481904,121482304,-,ENST00000683885,FGFR2-239,,,,tier3_polyA
FGFR2,FGFR2_polyA8,last_exon_group,FGFR2_polyA8_exon_ENST00000683885,10,121482104,121483803,-,ENST00000683885,FGFR2-239,,,,tier1_group
FGFR2,FGFR2_polyA9,polyA_window,FGFR2_polyA9_window,10,121483508,121483908,-,ENST00000369058;ENST00000336553,FGFR2-210;FGFR2-201,0.0,0,0,tier3_polyA
FGFR2,FGFR2_polyA9,last_exon_group,FGFR2_polyA9_exon_ENST00000369058,10,121483698,121483803,-,ENST00000369058,FGFR2-210,0.0,0,0,tier1_group
FGFR2,FGFR2_polyA9,last_exon_group,FGFR2_polyA9_exon_ENST00000336553,10,121483718,121483803,-,ENST00000336553,FGFR2-201,0.0,0,0,tier1_group
FGFR2,FGFR2_polyA10,polyA_window,FGFR2_polyA10_window,10,121515027,121515427,-,ENST00000463870,FGFR2-216,,,,tier3_polyA
FGFR2,FGFR2_polyA10,last_exon_group,FGFR2_polyA10_exon_ENST00000463870,10,121515227,121515319,-,ENST00000463870,FGFR2-216,,,,tier1_group
FGFR2,FGFR2_polyA11,polyA_window,FGFR2_polyA11_window,10,121517012,121517412,-,ENST00000682400;ENST00000683678,FGFR2-229;FGFR2-238,,,,tier3_polyA
FGFR2,FGFR2_polyA11,last_exon_group,FGFR2_polyA11_exon_ENST00000682400,10,121517212,121517463,-,ENST00000682400,FGFR2-229,,,,tier1_group
FGFR2,FGFR2_polyA11,last_exon_group,FGFR2_polyA11_exon_ENST00000683678,10,121517212,121517463,-,ENST00000683678,FGFR2-238,,,,tier1_group
FGFR2,FGFR2_polyA12,polyA_window,FGFR2_polyA12_window,10,121517134,121517534,-,ENST00000490349,FGFR2-219,,,,tier3_polyA
FGFR2,FGFR2_polyA12,last_exon_group,FGFR2_polyA12_exon_ENST00000490349,10,121517334,121517463,-,ENST00000490349,FGFR2-219,,,,tier1_group
FGFR2,FGFR2_polyA13,polyA_window,FGFR2_polyA13_window,10,121537766,121538166,-,ENST00000359354,FGFR2-207,431.0,431,431,tier3_polyA
FGFR2,FGFR2_polyA13,last_exon_group,FGFR2_polyA13_exon_ENST00000359354,10,121537966,121538410,-,ENST00000359354,FGFR2-207,431.0,431,431,tier1_group
FGFR2,FGFR2_polyA14,polyA_window,FGFR2_polyA14_window,10,121564126,121564526,-,ENST00000491475;ENST00000611527;ENST00000613324;ENST00000636922;ENST00000683035,FGFR2-221;FGFR2-223;FGFR2-225;FGFR2-226;FGFR2-234,127.0,0,173,tier3_polyA
FGFR2,FGFR2_polyA14,last_exon_group,FGFR2_polyA14_exon_ENST00000491475,10,121564324,121564579,-,ENST00000491475,FGFR2-221,127.0,0,173,tier1_group
FGFR2,FGFR2_polyA14,last_exon_group,FGFR2_polyA14_exon_ENST00000611527,10,121564324,121564579,-,ENST00000611527,FGFR2-223,127.0,0,173,tier1_group
FGFR2,FGFR2_polyA14,last_exon_group,FGFR2_polyA14_exon_ENST00000613324,10,121564324,121564579,-,ENST00000613324,FGFR2-225,127.0,0,173,tier1_group
FGFR2,FGFR2_polyA14,last_exon_group,FGFR2_polyA14_exon_ENST00000636922,10,121564325,121564579,-,ENST00000636922,FGFR2-226,127.0,0,173,tier1_group
FGFR2,FGFR2_polyA14,last_exon_group,FGFR2_polyA14_exon_ENST00000683035,10,121564335,121564579,-,ENST00000683035,FGFR2-234,127.0,0,173,tier1_group
FGFR2,FGFR2_polyA15,polyA_window,FGFR2_polyA15_window,10,121583102,121583502,-,ENST00000491111,FGFR2-220,,,,tier3_polyA
FGFR2,FGFR2_polyA15,last_exon_group,FGFR2_polyA15_exon_ENST00000491111,10,121583302,121583574,-,ENST00000491111,FGFR2-220,,,,tier1_group
FN1,FN1_polyA1,polyA_window,FN1_polyA1_window,2,215360250,215360650,-,ENST00000421182;ENST00000865084;ENST00000323926;ENST00000336916;ENST00000357867;ENST00000359671,FN1-207;FN1-228;FN1-201;FN1-202;FN1-205;FN1-206,1108.0,1100,1118,tier3_polyA
FN1,FN1_polyA1,last_exon_group,FN1_polyA1_exon_ENST00000421182,2,215360440,215361626,-,ENST00000421182,FN1-207,1108.0,1100,1118,tier1_group
FN1,FN1_polyA1,last_exon_group,FN1_polyA1_exon_ENST00000865084,2,215360440,215361626,-,ENST00000865084,FN1-228,1108.0,1100,1118,tier1_group
FN1,FN1_polyA1,last_exon_group,FN1_polyA1_exon_ENST00000323926,2,215360454,215361626,-,ENST00000323926,FN1-201,1108.0,1100,1118,tier1_group
FN1,FN1_polyA1,last_exon_group,FN1_polyA1_exon_ENST00000336916,2,215360454,215361626,-,ENST00000336916,FN1-202,1108.0,1100,1118,tier1_group
FN1,FN1_polyA1,last_exon_group,FN1_polyA1_exon_ENST00000357867,2,215360454,215361626,-,ENST00000357867,FN1-205,1108.0,1100,1118,tier1_group
FN1,FN1_polyA1,last_exon_group,FN1_polyA1_exon_ENST00000359671,2,215360458,215361626,-,ENST00000359671,FN1-206,1108.0,1100,1118,tier1_group
FN1,FN1_polyA2,polyA_window,FN1_polyA2_window,2,215360663,215361063,-,ENST00000443816;ENST00000446046;ENST00000492816;ENST00000865085;ENST00000865086;ENST00000865087;ENST00000933287;ENST00000354785;ENST00000432072;ENST00000865088;ENST00000865089;ENST00000967217;ENST00000356005;ENST00000498719;ENST00000967218;ENST00000967219,FN1-211;FN1-212;FN1-224;FN1-229;FN1-230;FN1-231;FN1-234;FN1-203;FN1-209;FN1-232;FN1-233;FN1-235;FN1-204;FN1-227;FN1-236;FN1-237,694.0714285714286,692,696,tier3_polyA
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000443816,2,215360862,215361626,-,ENST00000443816,FN1-211,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000446046,2,215360862,215361626,-,ENST00000446046,FN1-212,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000492816,2,215360862,215361626,-,ENST00000492816,FN1-224,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000865085,2,215360862,215361626,-,ENST00000865085,FN1-229,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000865086,2,215360862,215361626,-,ENST00000865086,FN1-230,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000865087,2,215360862,215361626,-,ENST00000865087,FN1-231,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000933287,2,215360862,215361626,-,ENST00000933287,FN1-234,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000354785,2,215360865,215361626,-,ENST00000354785,FN1-203,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000432072,2,215360865,215361626,-,ENST00000432072,FN1-209,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000865088,2,215360865,215361626,-,ENST00000865088,FN1-232,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000865089,2,215360865,215361626,-,ENST00000865089,FN1-233,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000967217,2,215360865,215361626,-,ENST00000967217,FN1-235,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000356005,2,215360866,215361626,-,ENST00000356005,FN1-204,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000498719,2,215360866,215361626,-,ENST00000498719,FN1-227,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000967218,2,215360866,215361626,-,ENST00000967218,FN1-236,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA2,last_exon_group,FN1_polyA2_exon_ENST00000967219,2,215360866,215361626,-,ENST00000967219,FN1-237,694.0714285714286,692,696,tier1_group
FN1,FN1_polyA3,polyA_window,FN1_polyA3_window,2,215360947,215361347,-,ENST00000456923,FN1-213,411.0,411,411,tier3_polyA
FN1,FN1_polyA3,last_exon_group,FN1_polyA3_exon_ENST00000456923,2,215361147,215361626,-,ENST00000456923,FN1-213,411.0,411,411,tier1_group
FN1,FN1_polyA4,polyA_window,FN1_polyA4_window,2,215361141,215361541,-,ENST00000494446,FN1-225,,,,tier3_polyA
FN1,FN1_polyA4,last_exon_group,FN1_polyA4_exon_ENST00000494446,2,215361341,215361626,-,ENST00000494446,FN1-225,,,,tier1_group
FN1,FN1_polyA5,polyA_window,FN1_polyA5_window,2,215364170,215364570,-,ENST00000469569,FN1-216,,,,tier3_polyA
FN1,FN1_polyA5,last_exon_group,FN1_polyA5_exon_ENST00000469569,2,215364370,215364985,-,ENST00000469569,FN1-216,,,,tier1_group
FN1,FN1_polyA6,polyA_window,FN1_polyA6_window,2,215364467,215364867,-,ENST00000473614,FN1-218,,,,tier3_polyA
FN1,FN1_polyA6,last_exon_group,FN1_polyA6_exon_ENST00000473614,2,215364667,215364985,-,ENST00000473614,FN1-218,,,,tier1_group
FN1,FN1_polyA7,polyA_window,FN1_polyA7_window,2,215367479,215367879,-,ENST00000480024,FN1-220,,,,tier3_polyA
FN1,FN1_polyA7,last_exon_group,FN1_polyA7_exon_ENST00000480024,2,215367679,215368027,-,ENST00000480024,FN1-220,,,,tier1_group
FN1,FN1_polyA8,polyA_window,FN1_polyA8_window,2,215370161,215370561,-,ENST00000461974;ENST00000485567,FN1-215;FN1-222,,,,tier3_polyA
FN1,FN1_polyA8,last_exon_group,FN1_polyA8_exon_ENST00000461974,2,215370343,215370432,-,ENST00000461974,FN1-215,,,,tier1_group
FN1,FN1_polyA8,last_exon_group,FN1_polyA8_exon_ENST00000485567,2,215370380,215370432,-,ENST00000485567,FN1-222,,,,tier1_group
FN1,FN1_polyA9,polyA_window,FN1_polyA9_window,2,215371686,215372086,-,ENST00000460217;ENST00000438981,FN1-214;FN1-210,0.0,0,0,tier3_polyA
FN1,FN1_polyA9,last_exon_group,FN1_polyA9_exon_ENST00000460217,2,215371864,215372300,-,ENST00000460217,FN1-214,0.0,0,0,tier1_group
FN1,FN1_polyA9,last_exon_group,FN1_polyA9_exon_ENST00000438981,2,215371909,215372300,-,ENST00000438981,FN1-210,0.0,0,0,tier1_group
FN1,FN1_polyA10,polyA_window,FN1_polyA10_window,2,215375433,215375833,-,ENST00000474036,FN1-219,,,,tier3_polyA
FN1,FN1_polyA10,last_exon_group,FN1_polyA10_exon_ENST00000474036,2,215375633,215375718,-,ENST00000474036,FN1-219,,,,tier1_group
FN1,FN1_polyA11,polyA_window,FN1_polyA11_window,2,215379005,215379405,-,ENST00000490833,FN1-223,,,,tier3_polyA
FN1,FN1_polyA11,last_exon_group,FN1_polyA11_exon_ENST00000490833,2,215379205,215379317,-,ENST00000490833,FN1-223,,,,tier1_group
FN1,FN1_polyA12,polyA_window,FN1_polyA12_window,2,215381959,215382359,-,ENST00000480737,FN1-221,,,,tier3_polyA
FN1,FN1_polyA12,last_exon_group,FN1_polyA12_exon_ENST00000480737,2,215382159,215382325,-,ENST00000480737,FN1-221,,,,tier1_group
FN1,FN1_polyA13,polyA_window,FN1_polyA13_window,2,215408119,215408519,-,ENST00000471193,FN1-217,,,,tier3_polyA
FN1,FN1_polyA13,last_exon_group,FN1_polyA13_exon_ENST00000471193,2,215408319,215408426,-,ENST00000471193,FN1-217,,,,tier1_group
FN1,FN1_polyA14,polyA_window,FN1_polyA14_window,2,215414461,215414861,-,ENST00000426059,FN1-208,146.0,146,146,tier3_polyA
FN1,FN1_polyA14,last_exon_group,FN1_polyA14_exon_ENST00000426059,2,215414661,215414958,-,ENST00000426059,FN1-208,146.0,146,146,tier1_group
FN1,FN1_polyA15,polyA_window,FN1_polyA15_window,2,215419089,215419489,-,ENST00000496542,FN1-226,,,,tier3_polyA
FN1,FN1_polyA15,last_exon_group,FN1_polyA15_exon_ENST00000496542,2,215419289,215419385,-,ENST00000496542,FN1-226,,,,tier1_group
HAVCR2,HAVCR2_polyA1,polyA_window,HAVCR2_polyA1_window,5,157085222,157085622,-,ENST00000696902,HAVCR2-212,1683.0,1683,1683,tier3_polyA
HAVCR2,HAVCR2_polyA1,last_exon_group,HAVCR2_polyA1_exon_ENST00000696902,5,157085422,157087294,-,ENST00000696902,HAVCR2-212,1683.0,1683,1683,tier1_group
HAVCR2,HAVCR2_polyA2,polyA_window,HAVCR2_polyA2_window,5,157085657,157086057,-,ENST00000307851;ENST00000517358;ENST00000696899;ENST00000522593;ENST00000696900;ENST00000696897,HAVCR2-201;HAVCR2-202;HAVCR2-209;HAVCR2-204;HAVCR2-210;HAVCR2-207,1271.1666666666667,1238,1364,tier3_polyA
HAVCR2,HAVCR2_polyA2,last_exon_group,HAVCR2_polyA2_exon_ENST00000307851,5,157085832,157087294,-,ENST00000307851,HAVCR2-201,1271.1666666666667,1238,1364,tier1_group
HAVCR2,HAVCR2_polyA2,last_exon_group,HAVCR2_polyA2_exon_ENST00000517358,5,157085839,157087294,-,ENST00000517358,HAVCR2-202,1271.1666666666667,1238,1364,tier1_group
HAVCR2,HAVCR2_polyA2,last_exon_group,HAVCR2_polyA2_exon_ENST00000696899,5,157085857,157087294,-,ENST00000696899,HAVCR2-209,1271.1666666666667,1238,1364,tier1_group
HAVCR2,HAVCR2_polyA2,last_exon_group,HAVCR2_polyA2_exon_ENST00000522593,5,157085867,157087294,-,ENST00000522593,HAVCR2-204,1271.1666666666667,1238,1364,tier1_group
HAVCR2,HAVCR2_polyA2,last_exon_group,HAVCR2_polyA2_exon_ENST00000696900,5,157085867,157087294,-,ENST00000696900,HAVCR2-210,1271.1666666666667,1238,1364,tier1_group
HAVCR2,HAVCR2_polyA2,last_exon_group,HAVCR2_polyA2_exon_ENST00000696897,5,157085884,157087294,-,ENST00000696897,HAVCR2-207,1271.1666666666667,1238,1364,tier1_group
HAVCR2,HAVCR2_polyA3,polyA_window,HAVCR2_polyA3_window,5,157085854,157086254,-,ENST00000696901,HAVCR2-211,9386.0,9386,9386,tier3_polyA
HAVCR2,HAVCR2_polyA3,last_exon_group,HAVCR2_polyA3_exon_ENST00000696901,5,157086054,157087294,-,ENST00000696901,HAVCR2-211,9386.0,9386,9386,tier1_group
HAVCR2,HAVCR2_polyA4,polyA_window,HAVCR2_polyA4_window,5,157086677,157087077,-,ENST00000853244,HAVCR2-213,228.0,228,228,tier3_polyA
HAVCR2,HAVCR2_polyA4,last_exon_group,HAVCR2_polyA4_exon_ENST00000853244,5,157086877,157087294,-,ENST00000853244,HAVCR2-213,228.0,228,228,tier1_group
HAVCR2,HAVCR2_polyA5,polyA_window,HAVCR2_polyA5_window,5,157086878,157087278,-,ENST00000524219,HAVCR2-206,27.0,27,27,tier3_polyA
HAVCR2,HAVCR2_polyA5,last_exon_group,HAVCR2_polyA5_exon_ENST00000524219,5,157087078,157087294,-,ENST00000524219,HAVCR2-206,27.0,27,27,tier1_group
HAVCR2,HAVCR2_polyA6,polyA_window,HAVCR2_polyA6_window,5,157094486,157094886,-,ENST00000696898,HAVCR2-208,,,,tier3_polyA
HAVCR2,HAVCR2_polyA6,last_exon_group,HAVCR2_polyA6_exon_ENST00000696898,5,157094686,157095459,-,ENST00000696898,HAVCR2-208,,,,tier1_group
HAVCR2,HAVCR2_polyA7,polyA_window,HAVCR2_polyA7_window,5,157095250,157095650,-,ENST00000521665,HAVCR2-203,0.0,0,0,tier3_polyA
HAVCR2,HAVCR2_polyA7,last_exon_group,HAVCR2_polyA7_exon_ENST00000521665,5,157095450,157095459,-,ENST00000521665,HAVCR2-203,0.0,0,0,tier1_group
HAVCR2,HAVCR2_polyA8,polyA_window,HAVCR2_polyA8_window,5,157105920,157106320,-,ENST00000522902,HAVCR2-205,,,,tier3_polyA
HAVCR2,HAVCR2_polyA8,last_exon_group,HAVCR2_polyA8_exon_ENST00000522902,5,157106120,157106962,-,ENST00000522902,HAVCR2-205,,,,tier1_group
ICAM1,ICAM1_polyA1,polyA_window,ICAM1_polyA1_window,19,10283386,10283786,+,ENST00000585443,ICAM1-203,,,,tier3_polyA
ICAM1,ICAM1_polyA1,last_exon_group,ICAM1_polyA1_exon_ENST00000585443,19,10283112,10283586,+,ENST00000585443,ICAM1-203,,,,tier1_group
ICAM1,ICAM1_polyA2,polyA_window,ICAM1_polyA2_window,19,10283553,10283953,+,ENST00000588645,ICAM1-204,0.0,0,0,tier3_polyA
ICAM1,ICAM1_polyA2,last_exon_group,ICAM1_polyA2_exon_ENST00000588645,19,10283558,10283753,+,ENST00000588645,ICAM1-204,0.0,0,0,tier1_group
ICAM1,ICAM1_polyA3,polyA_window,ICAM1_polyA3_window,19,10283898,10284298,+,ENST00000592686,ICAM1-205,,,,tier3_polyA
ICAM1,ICAM1_polyA3,last_exon_group,ICAM1_polyA3_exon_ENST00000592686,19,10284033,10284098,+,ENST00000592686,ICAM1-205,,,,tier1_group
ICAM1,ICAM1_polyA4,polyA_window,ICAM1_polyA4_window,19,10285383,10285783,+,ENST00000423829,ICAM1-202,299.0,299,299,tier3_polyA
ICAM1,ICAM1_polyA4,last_exon_group,ICAM1_polyA4_exon_ENST00000423829,19,10285115,10285583,+,ENST00000423829,ICAM1-202,299.0,299,299,tier1_group
ICAM1,ICAM1_polyA5,polyA_window,ICAM1_polyA5_window,19,10285668,10286068,+,ENST00000902798,ICAM1-206,584.0,584,584,tier3_polyA
ICAM1,ICAM1_polyA5,last_exon_group,ICAM1_polyA5_exon_ENST00000902798,19,10285115,10285868,+,ENST00000902798,ICAM1-206,584.0,584,584,tier1_group
ICAM1,ICAM1_polyA6,polyA_window,ICAM1_polyA6_window,19,10286414,10286814,+,ENST00000935832;ENST00000264832,ICAM1-207;ICAM1-201,1330.5,1330,1331,tier3_polyA
ICAM1,ICAM1_polyA6,last_exon_group,ICAM1_polyA6_exon_ENST00000935832,19,10285115,10286614,+,ENST00000935832,ICAM1-207,1330.5,1330,1331,tier1_group
ICAM1,ICAM1_polyA6,last_exon_group,ICAM1_polyA6_exon_ENST00000264832,19,10285115,10286615,+,ENST00000264832,ICAM1-201,1330.5,1330,1331,tier1_group
ICAM2,ICAM2_polyA1,polyA_window,ICAM2_polyA1_window,17,64002399,64002799,-,ENST00000578379;ENST00000578892;ENST00000583684;ENST00000449662;ENST00000579788;ENST00000852957;ENST00000852958;ENST00000412356;ENST00000418105;ENST00000965113;ENST00000965114;ENST00000965116;ENST00000965118;ENST00000965115;ENST00000965117;ENST00000579687;ENST00000581417,ICAM2-205;ICAM2-206;ICAM2-214;ICAM2-203;ICAM2-208;ICAM2-217;ICAM2-218;ICAM2-201;ICAM2-202;ICAM2-219;ICAM2-220;ICAM2-222;ICAM2-224;ICAM2-221;ICAM2-223;ICAM2-207;ICAM2-211,223.875,118,1304,tier3_polyA
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000578379,17,64002594,64002925,-,ENST00000578379,ICAM2-205,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000578892,17,64002594,64002925,-,ENST00000578892,ICAM2-206,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000583684,17,64002594,64002925,-,ENST00000583684,ICAM2-214,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000449662,17,64002595,64002925,-,ENST00000449662,ICAM2-203,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000579788,17,64002595,64002925,-,ENST00000579788,ICAM2-208,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000852957,17,64002595,64002925,-,ENST00000852957,ICAM2-217,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000852958,17,64002595,64002925,-,ENST00000852958,ICAM2-218,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000412356,17,64002596,64002925,-,ENST00000412356,ICAM2-201,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000418105,17,64002596,64002925,-,ENST00000418105,ICAM2-202,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000965113,17,64002596,64002925,-,ENST00000965113,ICAM2-219,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000965114,17,64002596,64002925,-,ENST00000965114,ICAM2-220,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000965116,17,64002596,64002925,-,ENST00000965116,ICAM2-222,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000965118,17,64002596,64002925,-,ENST00000965118,ICAM2-224,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000965115,17,64002598,64002925,-,ENST00000965115,ICAM2-221,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000965117,17,64002598,64002925,-,ENST00000965117,ICAM2-223,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000579687,17,64002632,64002925,-,ENST00000579687,ICAM2-207,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA1,last_exon_group,ICAM2_polyA1_exon_ENST00000581417,17,64002632,64002925,-,ENST00000581417,ICAM2-211,223.875,118,1304,tier1_group
ICAM2,ICAM2_polyA2,polyA_window,ICAM2_polyA2_window,17,64003446,64003846,-,ENST00000578313;ENST00000583366,ICAM2-204;ICAM2-213,0.0,0,0,tier3_polyA
ICAM2,ICAM2_polyA2,last_exon_group,ICAM2_polyA2_exon_ENST00000578313,17,64003644,64003964,-,ENST00000578313,ICAM2-204,0.0,0,0,tier1_group
ICAM2,ICAM2_polyA2,last_exon_group,ICAM2_polyA2_exon_ENST00000583366,17,64003649,64003964,-,ENST00000583366,ICAM2-213,0.0,0,0,tier1_group
ICAM2,ICAM2_polyA3,polyA_window,ICAM2_polyA3_window,17,64003593,64003993,-,ENST00000584084,ICAM2-215,0.0,0,0,tier3_polyA
ICAM2,ICAM2_polyA3,last_exon_group,ICAM2_polyA3_exon_ENST00000584084,17,64003793,64003964,-,ENST00000584084,ICAM2-215,0.0,0,0,tier1_group
